t [s],U [V],i(e-),FE(H2),FE(CO),FE(HCOOH),FE(CH2O),FE(C2H4),FE(CH3CH2OH),FE(CH4),FE(CH3OH),FE(CH3COOH),x(*H),x(*H2O),x(*COOH),x(*CO),x(*CO2-),x(*CO2),x(*OCHO),x(*COH),x(*C),x(*CH),x(*CH2),x(*CH3),x(*CHO),x(**CH2O),x(*CHOH),x(**CH2OH),x(*CH2OH),x(*OCH3),x(*O),x(**OCCO),x(**(CO)2),x(**COHCO),x(*CCO),x(**COCOH),x(*CHCO),x(***CH2CO),x(**OCHCH2),x(**CH2OCH2),x(**CHCH2O),x(**CHOHCH2O),x(**COHCH2O),x(*COHCH2O),x(**COCH2O),x(**COCHOH),x(*COCHO),x(**COCHO),x(**OCHCH),x(**CHOCHOH),x(**CHOCH2OH),x(*OCHCH2),x(**CHOCHO),x(**OHCH2CH2),x(*OH),x(**CHOHCH2),x(*CH2CH2OH),x(**OHCHCH2),x(**CHCH2),x(*),d(i_rel)/dt,sum(FE),t_SS,d(FE(H2))/dt,d(FE(CO))/dt,d(FE(HCOOH))/dt,d(FE(CH2O))/dt,d(FE(C2H4))/dt,d(FE(CH3CH2OH))/dt,d(FE(CH4))/dt,d(FE(CH3OH))/dt,d(FE(CH3COOH))/dt,FE(*H),FE(*H2O),FE(*COOH),FE(*CO),FE(*CO2-),FE(*CO2),FE(*OCHO),FE(*COH),FE(*C),FE(*CH),FE(*CH2),FE(*CH3),FE(*CHO),FE(**CH2O),FE(*CHOH),FE(**CH2OH),FE(*CH2OH),FE(*OCH3),FE(*O),FE(**OCCO),FE(**(CO)2),FE(**COHCO),FE(*CCO),FE(**COCOH),FE(*CHCO),FE(***CH2CO),FE(**OCHCH2),FE(**CH2OCH2),FE(**CHCH2O),FE(**CHOHCH2O),FE(**COHCH2O),FE(*COHCH2O),FE(**COCH2O),FE(**COCHOH),FE(*COCHO),FE(**COCHO),FE(**OCHCH),FE(**CHOCHOH),FE(**CHOCH2OH),FE(*OCHCH2),FE(**CHOCHO),FE(**OHCH2CH2),FE(*OH),FE(**CHOHCH2),FE(*CH2CH2OH),FE(**OHCHCH2),FE(**CHCH2),FE(*),
721.2,-1,0.1940981827804988,0.1712542174378806,0.05883749162099692,0.09284125210242143,1.319574546318012e-10,4.677032840577512e-16,2.929953830561316e-10,0.6770638204568775,3.217952199860166e-06,2.896228962635745e-24,5.034236198415802e-05,3.163292438665445e-11,7.791911168145764e-16,4.970876091337774e-10,2.19259061509334e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325176e-11,5.101959061293656e-16,1.400828830089168e-14,5.47025449066849e-14,1.816864037909153e-12,9.507602547962445e-09,1.15628192371096e-19,1.984190591329681e-13,8.899928731275146e-27,7.197067671185554e-17,9.181724454158015e-13,1.109210914606731e-44,1.846522858862593e-41,4.804073227754576e-32,3.660803555657165e-44,3.400889264953102e-20,2.183694928328208e-36,1.130614746669024e-13,2.534574074493377e-48,7.296110730103152e-26,3.599064179970706e-25,2.307000663487716e-33,1.276114537283506e-31,2.307000663487714e-33,4.773763834608023e-39,3.553297238091057e-33,4.238443708322675e-30,1.827544818607372e-16,1.317322559376421e-35,8.175040518119442e-33,6.439145483281699e-25,3.561805286113322e-23,4.623856397488795e-11,3.717301502976354e-18,2.788885053177469e-27,1.43349398370612e-34,6.43895830854081e-25,3.219479154270405e-25,1.955139894973655e-21,2.253370065737626e-32,3.198326898642769e-07,-3.367736637015819e-13,1.000000000005431,11.2,5.767608612927688e-14,1.981192987443592e-14,3.126665593100597e-14,4.443510853058296e-23,-1.537189466599999e-24,2.145499713809416e-24,2.279954003370221e-13,1.083482194480338e-18,-1.272236086989074e-28,-1.367547913375485e-16,0,3.380934127280134e-17,1.086111337443104e-11,-0,-0,-6.424808680074395e-18,1.344617244322694e-18,3.137113613317576e-21,-6.424808680074395e-17,1.541954083217855e-16,8.994732152104153e-17,-1.629128060771612e-11,3.921392016646969e-22,-1.808413191558894e-17,2.393427744535504e-25,-1.732938645398375e-29,-2.412673780250766e-33,-8.503163487231915e-41,3.321548237199967e-43,-1.679701188930778e-34,-5.416116375495928e-43,6.930184652897665e-25,-2.395664806013464e-34,2.687939908388309e-18,-3.959594055652579e-50,-1.746151184625302e-30,9.130202272550598e-31,0,-2.528555752546862e-34,-2.340505953656769e-34,0,2.674863947036308e-34,-6.486545071563047e-33,-4.343729082231884e-19,-2.978233011402978e-37,-3.566485262715077e-34,4.188498552937132e-26,-7.854815159213203e-26,-7.79671054921163e-22,3.590141616803256e-26,0,-8.653432752884435e-33,-2.99178468066938e-26,1.316385259494527e-25,3.460867469040169e-32,0,-0,
731.2,-1,0.1940981827791913,0.1712542174390343,0.0588374916213932,0.09284125210304682,1.3195745463269e-10,4.677032687017779e-16,2.929953830574325e-10,0.6770638204614374,3.217952199881841e-06,2.89495787524946e-24,5.034236198415804e-05,3.163292438665445e-11,7.791911168145763e-16,4.97087609133777e-10,2.19259061509334e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325168e-11,5.101959061293654e-16,1.400828830089167e-14,5.470254490668487e-14,1.816864037909152e-12,9.50760254796244e-09,1.15628192371096e-19,1.984190591329679e-13,8.899928731275143e-27,7.197067671185552e-17,9.181724454158011e-13,1.109210853271559e-44,1.846522858862591e-41,4.804073208663379e-32,3.660803555657161e-44,3.400899938260806e-20,2.183694919650291e-36,1.130618294992922e-13,2.534582028702948e-48,7.296110730097493e-26,3.599063980956056e-25,2.305988174652637e-33,1.275554480348226e-31,2.305988174652637e-33,4.771668740895942e-39,3.551737778729723e-33,4.236583554140362e-30,1.826742751770645e-16,1.316744417202548e-35,8.175040518119436e-33,6.439145483281693e-25,3.561805286113319e-23,4.623856397485206e-11,3.717301502976349e-18,2.788884898962664e-27,1.43349390443932e-34,6.438958308535813e-25,3.219479154267906e-25,1.955139894972138e-21,2.253370065735878e-32,3.198326898642769e-07,1.010206593022733e-12,0.9999999999953295,11.2,-1.730338095029538e-13,-5.942746295062306e-14,-9.378886556277166e-14,-1.33284646076435e-22,-1.537112079345196e-24,-3.751264077927981e-22,-6.838418720178652e-13,-3.250277176851564e-18,-1.271673605309206e-28,1.744061698406077e-17,0,8.110103488834327e-18,-9.3421858054282e-12,-0,-0,-6.424808680009491e-18,3.98581767935345e-17,3.137113613285884e-21,-6.424808680009492e-17,1.541954083202278e-16,-2.698419645603986e-16,1.401335976949148e-11,-7.842784033214711e-22,-1.808420103759951e-17,2.393427744511326e-25,1.188724688647502e-29,4.901740020735068e-22,-4.251581743573008e-41,6.643096474332825e-43,1.221254673972363e-34,-1.264190977968338e-43,6.931934912603285e-25,5.222223170107906e-34,2.687939897470281e-18,0,5.392525717170721e-31,0,0,-4.915569971426476e-34,1.560337302422084e-34,-8.928321661503317e-40,6.687159867523215e-35,-4.881626703291947e-33,-4.341808506100669e-19,2.875132154091247e-37,-3.566485262679048e-34,6.282747829342229e-26,-3.067968229675834e-26,-5.195383687163928e-22,-5.385212425150482e-26,-1.00432224997042e-30,-5.801939053073498e-33,-2.991784680639157e-26,0,6.10636318996259e-33,0,0,
741.2,-1,0.1940981827791906,0.1712542174390347,0.05883749162139352,0.09284125210304718,1.319574546326906e-10,4.677032533495477e-16,2.929953830568358e-10,0.6770638204614411,3.217952199881857e-06,2.893687348340936e-24,5.034236198415799e-05,3.163292438665446e-11,7.791911168145763e-16,4.970876091337777e-10,2.19259061509334e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325183e-11,5.10195906129366e-16,1.400828830089169e-14,5.470254490668495e-14,1.816864037909154e-12,9.507602547962454e-09,1.156281923710961e-19,1.984190591329682e-13,8.899928731275158e-27,7.197067671185561e-17,9.181724454158023e-13,1.109210791963716e-44,1.846522858862596e-41,4.80407318958062e-32,3.660803555657169e-44,3.400910611568467e-20,2.18369491097621e-36,1.130621843316805e-13,2.534589982912489e-48,7.29611073009369e-26,3.59906378203008e-25,2.304976132283486e-33,1.274994670375016e-31,2.304976132283485e-33,4.769574571034004e-39,3.550179007025817e-33,4.234724220209524e-30,1.825941038612404e-16,1.316166529965591e-35,8.175040518119456e-33,6.439145483281711e-25,3.561805286113328e-23,4.623856397482796e-11,3.717301502976359e-18,2.788884744816571e-27,1.433493825207837e-34,6.438958308532456e-25,3.219479154266228e-25,1.955139894971119e-21,2.253370065734703e-32,3.198326898642769e-07,-6.736045264413351e-13,1.000000000002065,11.2,1.153688256039232e-13,3.962802308521418e-14,6.253886297713506e-14,8.888314175823705e-23,-1.535597328356514e-24,1.30089660960449e-22,4.559908006740443e-13,2.167514960376392e-18,-1.2710873862849e-28,-2.110823509613836e-17,0,3.380934127268754e-17,4.129147440965754e-12,-0,-0,-6.424808680052769e-18,2.060492627200702e-17,-3.137113613307016e-21,-6.424808680052769e-17,0,8.994732152073876e-17,-6.193485904397028e-12,-3.92139201663377e-22,3.331430612312208e-17,0,-2.72107326658093e-30,4.901740020768086e-22,-4.251581743601647e-41,-3.321548237188787e-43,-4.900843301200546e-34,-1.264186523433541e-43,6.929511871094382e-25,3.918345423776739e-34,2.6879398870893e-18,3.959594055639251e-50,-2.362439838014515e-30,3.652080909007946e-30,4.012295920540956e-34,-4.010877167713116e-34,7.801686512162971e-35,-5.952214441042306e-40,-1.337431973513652e-34,-5.550342690081656e-33,-4.339888815320493e-19,-3.069642018880389e-37,-3.566485262703072e-34,-4.188498552923033e-26,1.718890683184248e-26,-3.492579518354871e-22,0,-1.004322249977185e-30,2.850789637805988e-33,-5.983569361318619e-26,6.58192629745048e-26,3.465767331956386e-32,-3.138507031178704e-32,-0,
751.2,-1,0.1940981827798456,0.1712542174384572,0.05883749162119483,0.09284125210273386,1.31957454632245e-10,4.677032380026044e-16,2.92995383055299e-10,0.6770638204591547,3.217952199870991e-06,2.892417383184813e-24,5.034236198415811e-05,3.163292438665446e-11,7.791911168145763e-16,4.970876091337767e-10,2.192590615093339e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325163e-11,5.101959061293651e-16,1.400828830089167e-14,5.470254490668483e-14,1.81686403790915e-12,9.507602547962434e-09,1.156281923710958e-19,1.984190591329678e-13,8.899928731275136e-27,7.197067671185543e-17,9.181724454158003e-13,1.109210730683168e-44,1.846522858862588e-41,4.804073170506266e-32,3.660803555657156e-44,3.400921284876085e-20,2.18369490230595e-36,1.130625391640674e-13,2.534597937121998e-48,7.296110730091124e-26,3.599063583192666e-25,2.303964537387833e-33,1.274435107921215e-31,2.303964537387833e-33,4.76748132710713e-39,3.548620924531226e-33,4.232865708381286e-30,1.825139679930811e-16,1.315588898240885e-35,8.175040518119419e-33,6.439145483281681e-25,3.561805286113312e-23,4.623856397481171e-11,3.717301502976343e-18,2.788884590739104e-27,1.433493746011629e-34,6.438958308530193e-25,3.219479154265096e-25,1.955139894970432e-21,2.253370065733911e-32,3.198326898642769e-07,-3.860935382761975e-16,1.00000000000207,11.2,4.440892098500626e-17,3.191891195797325e-17,3.608224830031759e-17,6.462348535570529e-26,-1.535223023717748e-24,-5.967074143804404e-23,3.663735981263016e-16,1.609362599783171e-21,-1.270526908524619e-28,9.453832114481184e-17,-0,3.380934127268767e-17,4.138193571587284e-12,-0,-0,-6.424808680052793e-18,1.28814919454555e-18,0,-6.424808680052794e-17,-7.709770416063352e-17,8.994732152073911e-17,-6.207440590908857e-12,0,8.471270624987708e-17,-9.573710978109828e-25,-2.72108893961188e-30,-2.41267378024266e-33,-4.251581743601663e-41,3.321548237188799e-43,2.519006294959867e-34,2.887740853864342e-43,6.930627524748345e-25,-1.848975167504389e-34,2.68793987628211e-18,0,-2.07997420520844e-30,-9.130202272519901e-31,1.003073980135243e-34,-1.591694843582534e-34,7.801686512163001e-35,-5.952214441042328e-40,-2.006147960270486e-34,-5.015369900676214e-33,-4.337969971015779e-19,-5.128470478219506e-37,3.566485262703086e-34,-8.376997105846099e-26,6.505737612674537e-26,-2.341490362471211e-22,3.590141616791185e-26,1.004322249977189e-30,-2.672204837741596e-33,-2.991784680659321e-26,0,3.467072397488416e-32,3.138507031178716e-32,0,
761.2,-1,0.1940981827798451,0.1712542174384574,0.05883749162119502,0.09284125210273408,1.319574546322455e-10,4.677032226640793e-16,2.929953830547861e-10,0.6770638204591571,3.217952199871002e-06,2.891147979514913e-24,5.034236198415805e-05,3.163292438665445e-11,7.791911168145766e-16,4.970876091337771e-10,2.192590615093341e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325172e-11,5.101959061293654e-16,1.400828830089168e-14,5.470254490668488e-14,1.816864037909153e-12,9.507602547962442e-09,1.15628192371096e-19,1.98419059132968e-13,8.899928731275146e-27,7.197067671185553e-17,9.181724454158015e-13,1.109210669429841e-44,1.846522858862591e-41,4.804073151440373e-32,3.660803555657161e-44,3.400931958183662e-20,2.183694893639533e-36,1.130628939964529e-13,2.534605891331474e-48,7.296110730089409e-26,3.599063384443583e-25,2.302953389738086e-33,1.273875792860927e-31,2.302953389738086e-33,4.765389008644371e-39,3.547063530895406e-33,4.231008018237505e-30,1.824338675545586e-16,1.315011521898472e-35,8.175040518119436e-33,6.439145483281693e-25,3.56180528611332e-23,4.623856397480084e-11,3.717301502976352e-18,2.788884436730083e-27,1.433493666850602e-34,6.438958308528679e-25,3.21947915426434e-25,1.955139894969972e-21,2.253370065733381e-32,3.198326898642769e-07,3.374743519747517e-13,0.9999999999986937,11.2,-5.775102618343908e-14,-1.986882880444796e-14,-3.13318815337027e-14,-4.456177056188014e-23,-1.534694329139068e-24,-1.536798180546956e-22,-2.286393296913047e-13,-1.086573864737816e-18,-1.269965156122916e-28,-1.23905173976565e-16,-0,2.095972391251136e-17,-2.612686998586732e-12,0,-0,-6.424808680031111e-18,2.061904328440697e-17,-3.137113613296441e-21,-1.284961736006222e-16,1.541954083207467e-16,8.994732152043557e-17,3.919419951810541e-12,7.842784033241103e-22,3.331434997060606e-17,0,-2.721057593540818e-30,-1.47052200623512e-21,1.275474523076195e-40,0,-4.939177007226364e-34,-9.568053156779201e-43,6.931074419594313e-25,-3.163503126127783e-34,2.687939865548554e-18,-1.187878216687771e-49,-4.365377961533846e-31,2.739060681746727e-30,2.006147960263715e-34,-1.70804086604404e-34,-7.801686512136673e-35,0,6.687159867545719e-35,-6.352801874168432e-33,-4.336051975111447e-19,1.184543818535221e-36,0,0,-3.067959670121527e-26,-1.578675022438176e-22,3.590141616779069e-26,-1.0043222499738e-30,3.307659850190718e-33,-2.991784680649224e-26,6.581926297428294e-26,-2.238423775344773e-32,3.138507031168124e-32,-0,
771.2,-1,0.1940981827798456,0.1712542174384571,0.05883749162119482,0.09284125210273383,1.31957454632245e-10,4.677032073323473e-16,2.929953830542943e-10,0.6770638204591546,3.217952199870991e-06,2.889879135254666e-24,5.034236198415811e-05,3.163292438665446e-11,7.791911168145766e-16,4.970876091337767e-10,2.19259061509334e-20,4.12148798274612e-16,0.9999493276306034,8.904369436325167e-11,5.101959061293651e-16,1.400828830089167e-14,5.470254490668484e-14,1.81686403790915e-12,9.507602547962434e-09,1.156281923710959e-19,1.984190591329678e-13,8.899928731275136e-27,7.197067671185548e-17,9.181724454158005e-13,1.109210608203593e-44,1.846522858862589e-41,4.804073132382866e-32,3.660803555657156e-44,3.400942631491196e-20,2.18369488497693e-36,1.13063248828837e-13,2.53461384554092e-48,7.29611073008825e-26,3.599063185782359e-25,2.301942687687942e-33,1.273316724283504e-31,2.301942687687941e-33,4.763297612239115e-39,3.545506823582682e-33,4.229151146753582e-30,1.823538024152555e-16,1.314434399998296e-35,8.175040518119419e-33,6.439145483281682e-25,3.561805286113314e-23,4.623856397479348e-11,3.717301502976344e-18,2.788884282789145e-27,1.43349358772457e-34,6.438958308527657e-25,3.219479154263828e-25,1.955139894969662e-21,2.253370065733024e-32,3.19832689864277e-07,-2.43095931506416e-16,0.9999999999986968,11.2,1.942890293094024e-17,1.942890293094024e-17,2.220446049250313e-17,4.652890945610781e-26,-1.533852506084823e-24,-5.129036785711617e-23,2.442490654175345e-16,1.10114283143059e-21,-1.269403669899786e-28,-2.110823509606726e-17,0,-4.739519998375642e-18,-2.60693037000943e-12,-0,-0,-6.424808680031127e-18,-1.795568998517551e-17,3.137113613296449e-21,6.424808680031127e-17,7.709770416037352e-17,-1.798946430408716e-16,3.910592262919561e-12,0,-1.20881133408035e-16,-2.393427744519385e-25,-1.732939864400222e-29,-4.901740020799828e-22,-0,3.321548237177598e-43,1.882283609884746e-36,-5.416122314850537e-43,6.929450413396993e-25,-2.254325753961231e-34,2.687939855070423e-18,3.959594055625913e-50,-1.46368555180841e-30,1.826040454497822e-30,1.00307398013186e-34,-1.575828790826447e-34,-3.120674604854676e-34,2.976107220511128e-40,2.006147960263721e-34,-4.948498301983843e-33,-4.334134827205315e-19,-3.369378531792956e-38,-3.566485262691059e-34,4.188498552908924e-26,-3.067965947135597e-26,-1.057655720303116e-22,-5.385212425168617e-26,3.012966749921407e-30,-2.035360748487179e-33,0,0,6.153538741009998e-33,6.277014062336263e-32,0,
781.2,-1,0.1940981827778839,0.1712542174401878,0.0588374916217895,0.09284125210367215,1.319574546335788e-10,4.67703192012169e-16,2.9299538305678e-10,0.6770638204659982,3.217952199903516e-06,2.888610853871691e-24,5.034236198415808e-05,3.163292438665446e-11,7.791911168145766e-16,4.970876091337769e-10,2.19259061509334e-20,4.121487982746121e-16,0.9999493276306034,8.90436943632517e-11,5.101959061293653e-16,1.400828830089167e-14,5.470254490668486e-14,1.816864037909152e-12,9.507602547962439e-09,1.156281923710959e-19,1.984190591329679e-13,8.899928731275143e-27,7.197067671185551e-17,9.181724454158011e-13,1.109210547004562e-44,1.846522858862591e-41,4.804073113333826e-32,3.660803555657159e-44,3.400953304798688e-20,2.183694876318175e-36,1.130636036612198e-13,2.534621799750334e-48,7.296110730087474e-26,3.599062987209448e-25,2.30093243397627e-33,1.272757903703946e-31,2.300932433976268e-33,4.761207143558769e-39,3.543950806811525e-33,4.227295098961393e-30,1.822737727921392e-16,1.313857534104279e-35,8.175040518119433e-33,6.439145483281689e-25,3.561805286113317e-23,4.623856397478859e-11,3.717301502976349e-18,2.788884128916641e-27,1.433493508633712e-34,6.438958308526972e-25,3.219479154263486e-25,1.955139894969453e-21,2.253370065732783e-32,3.19832689864277e-07,2.716954528601126e-16,0.9999999999986935,11.2,-2.498001805406602e-17,-2.081668171172169e-17,-2.498001805406602e-17,-4.652890945610781e-26,-1.533173198237815e-24,-4.918105729510595e-23,-2.55351295663786e-16,-1.143494478793306e-21,-1.26884426024657e-28,-1.239051739765649e-16,0,2.095971472174881e-17,-2.612686998586731e-12,0,0,1.284961736006222e-17,-3.721364617760694e-17,3.13711361329644e-21,-6.42480868003111e-17,7.709770416037331e-17,8.994732152043555e-17,3.919419951516436e-12,0,-1.808413229841554e-17,7.180283233558137e-25,-1.732938993676277e-29,-4.901740020799815e-22,-0,-6.643096474355178e-43,-3.393677979065816e-34,-1.264182563835224e-43,6.929962617744461e-25,8.786031849529851e-35,2.687939844347728e-18,1.187878216687771e-49,-1.797508572396289e-31,-9.130202272489086e-31,3.009221940395573e-34,-3.079866860384281e-34,-1.560337302427334e-34,-2.97610722051112e-40,1.337431973509143e-34,-6.285930275492973e-33,-4.332218524161256e-19,-9.204143027148587e-37,3.566485262691049e-34,0,-3.06796081139681e-26,-7.119250826072893e-23,0,0,6.976955161972497e-33,-8.975354041947671e-26,0,-2.23743740838026e-32,-3.138507031168123e-32,-0,
791.2,-1,0.1940981827791904,0.1712542174390347,0.0588374916213936,0.09284125210304725,1.319574546326908e-10,4.677031766906384e-16,2.929953830543429e-10,0.6770638204614422,3.217952199881863e-06,2.887343110886615e-24,5.034236198415793e-05,3.163292438665446e-11,7.791911168145764e-16,4.970876091337779e-10,2.19259061509334e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325188e-11,5.101959061293664e-16,1.40082883008917e-14,5.470254490668498e-14,1.816864037909155e-12,9.507602547962459e-09,1.156281923710961e-19,1.984190591329684e-13,8.899928731275162e-27,7.197067671185564e-17,9.181724454158031e-13,1.109210488949791e-44,1.846522858862598e-41,4.804073094292889e-32,3.660803555657173e-44,3.400963978106141e-20,2.183694867663103e-36,1.130639584936011e-13,2.534629753959718e-48,7.296110730086958e-26,3.599062788720968e-25,2.299922609165953e-33,1.272199320370638e-31,2.299922609165952e-33,4.759117562383056e-39,3.542395450644428e-33,4.22543983915088e-30,1.821937771454524e-16,1.313280913117617e-35,8.175040518119466e-33,6.439145483281718e-25,3.561805286113332e-23,4.623856397478532e-11,3.717301502976363e-18,2.788883975109559e-27,1.433493429576483e-34,6.438958308526516e-25,3.219479154263258e-25,1.955139894969315e-21,2.253370065732624e-32,3.198326898642768e-07,-1.010678485118263e-12,1.000000000008801,11.2,1.730698917512541e-13,5.946840242465611e-14,9.383188670497589e-14,1.33375118955933e-22,-1.532017832556028e-24,2.485626041933563e-22,6.84363676839439e-13,3.252479462514425e-18,-1.268281382975752e-28,-5.965708717685671e-17,0,2.095971472196064e-17,1.760212543856329e-11,-0,0,1.284961736019209e-17,-3.722541035462905e-17,6.274227226656293e-21,-6.424808680096044e-17,1.54195408322305e-16,-3.597892860853785e-16,-2.640295290079333e-11,3.921392016660183e-22,3.331430574039803e-17,4.786855489087138e-25,-1.732939516128155e-29,-4.901740020849355e-22,-4.251581743630284e-41,-6.643096474422318e-43,-5.203176146738865e-34,2.887750752868921e-43,6.931208976020354e-25,-4.519293217072324e-35,2.687939833571299e-18,7.919188111331842e-50,3.466623675370736e-30,-9.130202272581364e-31,0,-3.968045457780278e-34,0,-1.4880536102706e-39,1.33743197352266e-34,-5.550342690119041e-33,-4.330303071216039e-19,-3.566014187469901e-38,-7.132970525454189e-34,0,-6.745364907101009e-27,-4.776683421172827e-23,1.795070808407676e-26,-4.0172889999358e-30,1.813179889116415e-33,1.196713872271784e-25,0,6.160178011123027e-33,3.138507031199843e-32,-0,
801.2,-1,0.1940981827798448,0.1712542174384576,0.05883749162119516,0.09284125210273424,1.319574546322458e-10,4.677031613777088e-16,2.929953830528973e-10,0.6770638204591587,3.217952199871009e-06,2.886075948796224e-24,5.034236198415802e-05,3.163292438665446e-11,7.791911168145764e-16,4.970876091337774e-10,2.192590615093341e-20,4.121487982746122e-16,0.9999493276306034,8.904369436325177e-11,5.101959061293657e-16,1.400828830089168e-14,5.470254490668492e-14,1.816864037909154e-12,9.507602547962447e-09,1.15628192371096e-19,1.984190591329681e-13,8.899928731275152e-27,7.197067671185554e-17,9.181724454158019e-13,0,1.846522858862594e-41,4.804073075260645e-32,3.660803555657166e-44,3.400974651413549e-20,2.183694859011984e-36,1.130643133259811e-13,2.534637708169069e-48,7.296110730086614e-26,3.599062590323523e-25,2.298913247061465e-33,1.271640992982481e-31,2.298913247061463e-33,4.75702893866192e-39,3.540840807147839e-33,4.223585429427943e-30,1.821138181530949e-16,1.31270455634103e-35,8.175040518119445e-33,6.439145483281701e-25,3.561805286113324e-23,4.623856397478312e-11,3.717301502976356e-18,2.78888382137302e-27,1.433493350555511e-34,6.438958308526212e-25,3.219479154263106e-25,1.955139894969223e-21,2.253370065732517e-32,3.198326898642769e-07,6.730897350660379e-13,1.000000000002071,11.2,-1.153160900102534e-13,-3.959055305813308e-14,-6.249029071980771e-14,-8.879525381815329e-23,-1.532153063036706e-24,-2.437029180946073e-22,-4.556022226154255e-13,-2.165270323066168e-18,-1.267742985075406e-28,1.844856426655511e-16,-0,-1.75891312313222e-17,4.140660698120428e-12,-0,-0,-1.28496173601056e-17,-1.800274669329228e-17,-3.137113613307031e-21,6.424808680052799e-17,-7.709770416063359e-17,-8.99473215207392e-17,-6.211256927558919e-12,-7.842784033267577e-22,-1.808427647856392e-17,-4.786855489054917e-25,-1.732941779998738e-29,-9.8034800416086e-22,5.57020259369076e-34,-6.643096474377604e-43,-5.601190113108515e-34,2.887736894270289e-43,6.931084263117034e-25,4.414693677194945e-35,2.687939822914113e-18,-7.919188111278539e-50,3.851804083719336e-31,1.826040454503982e-30,-1.003073980135244e-34,-2.04551229273906e-34,0,5.952214441042334e-40,2.006147960270488e-34,-4.747883505973488e-33,-4.328388431399947e-19,-9.725493238488813e-38,-3.566485262703089e-34,-6.28274782938458e-26,-6.745490447336853e-27,-3.123423206608333e-23,3.590141616791188e-26,-1.00432224997719e-30,-3.264695065733742e-33,5.983569361318647e-26,6.581926297450511e-26,3.469383217197701e-32,-3.138507031178718e-32,0,
811.2,-1,0.1940981827791916,0.1712542174390343,0.0588374916213931,0.0928412521030467,1.319574546326897e-10,4.677031460747082e-16,2.9299538305343e-10,0.6770638204614362,3.217952199881835e-06,2.884809347104877e-24,5.034236198415811e-05,3.163292438665446e-11,7.791911168145764e-16,4.970876091337768e-10,2.19259061509334e-20,4.121487982746121e-16,0.9999493276306034,8.904369436325168e-11,5.101959061293653e-16,1.400828830089167e-14,5.470254490668485e-14,1.816864037909151e-12,9.507602547962437e-09,1.156281923710959e-19,1.984190591329679e-13,8.899928731275136e-27,7.197067671185548e-17,9.181724454158005e-13,1.109210363571443e-44,1.846522858862589e-41,4.804073056236817e-32,3.660803555657156e-44,3.400985324720915e-20,2.183694850364689e-36,1.130646681583596e-13,2.53464566237839e-48,7.296110730086375e-26,3.599062392013866e-25,2.297904331329179e-33,1.271082912504551e-31,2.297904331329177e-33,4.754941238596994e-39,3.539286851164327e-33,4.221731839784294e-30,1.820338945211609e-16,1.312128454447844e-35,8.175040518119423e-33,6.439145483281686e-25,3.561805286113315e-23,4.623856397478161e-11,3.717301502976345e-18,2.788883667704508e-27,1.433493271569509e-34,6.438958308526002e-25,3.219479154263001e-25,1.955139894969159e-21,2.253370065732443e-32,3.198326898642769e-07,3.371597572398603e-13,0.9999999999986988,11.2,-5.77121683775772e-14,-1.984384878639389e-14,-3.130135040052551e-14,-4.450490189476712e-23,-1.531292958130982e-24,-1.445601518012985e-22,-2.283506717049022e-13,-1.085430370259023e-18,-1.267162090391048e-28,3.02902343441818e-17,-0,8.110103488861651e-18,-2.603640867965259e-12,-0,-0,-6.424808680031138e-18,1.304619042466004e-18,3.137113613296454e-21,6.424808680031137e-17,-7.709770416037364e-17,-8.994732152043593e-17,3.905465265004694e-12,-3.921392016620567e-22,-1.808421999360818e-17,-2.393427744519389e-25,1.188724688651507e-29,-2.412673780234526e-33,-1.981415571461363e-25,0,4.010719846213277e-34,2.887743328600893e-43,6.930292075387117e-25,-7.586842394783441e-34,2.687939812348692e-18,3.95959405562592e-50,-1.95158073574455e-30,9.130202272489125e-31,-1.003073980131862e-34,-3.72711405996645e-34,-1.560337302427341e-34,2.976107220511133e-40,1.337431973509149e-34,-5.617214288738426e-33,-4.326474668894124e-19,5.709342833919839e-37,0,0,-6.745416264420647e-27,-2.132544120366776e-23,0,-1.004322249973804e-30,9.907076092919225e-26,-2.991784680649236e-26,0,6.163123506892751e-33,6.277014062336274e-32,0,
