nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
33,HD04A,*CHO,H+,CH2O,,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.51,0.51,-0.5,1.5,FALSE,,,,,,,,,,,,,,,,,,,
34,H04A,*CHO,,*CHOH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.39,0.39,0.25,0.45,TRUE,6.21E+12,0.98,0.47,,1000,,0,,1,,0,,0,,1,,0,,0
35,H39Ai,**CH2O,,**CH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,0.28,0.28,0.08,0.48,TRUE,6.21E+12,0.98,0.48,,1000,,0,,1,,0,,0,,1,,0,,0
36,H39Aii,**CH2O,,*CH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.06,-0.06,-0.5,0.5,TRUE,6.21E+12,1.1,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
37,H38A,*CHOH,,*CH,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.79,-0.79,-1.04,-0.54,FALSE,6.21E+12,0.63,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
38,H38B,*CHOH,,**CH2OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.34,-0.34,-0.59,-0.09,FALSE,6.21E+12,0.39,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
39,H39B,**CH2O,,*OCH3,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.45,-0.4,-0.6,-0.2,TRUE,6.21E+12,0.634,0.48,,1000,,0,,1,,0,,0,,1,,0,,0
40,HD42B,*OCH3,,CH3OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.09,-0.09,-0.29,0.11,FALSE,6.21E+12,1.03,0.45,,1000,,0,,1,,0,,0,,1,,0,,0
41,H41A,*CH2OH,,*CH2,H2O,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.37,-0.37,-0.87,0.13,FALSE,6.21E+12,1.18,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
42,HD41A,**CH2OH,,CH3OH,,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,-0.77,-0.77,-1.27,-0.27,FALSE,6.21E+12,0.42,0.5,,1000,,0,,1,,0,,0,,1,,0,,0
