nr,id,ed1,ed2,prod1,prod2,ET,PT,active,reverse,Tafel,alkaline,acidic,dG,dG_lit,dG_min,dG_max,dG_given,A,E_act,beta,tafelA,tafelK,tafelE,tafelDE,acidA,acidK,acidE,acidDE,acidB,acidDB,alkaA,alkaK,alkaE,alkaDE,alkaB,alkaDB
34,H04A,*CHO,,*CHOH,,1,1,True,True,True,True,True,0.39,0.39,0.25,0.45,True,6210000000000.0,0.98,0.47,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
35,H39Ai,**CH2O,,**CH2OH,,1,1,True,True,True,True,True,0.28000000000000014,0.28,0.08,0.48,True,6210000000000.0,0.98,0.48,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
36,H39Aii,**CH2O,,*CH2OH,,1,1,True,True,True,True,True,-0.05999999999999983,-0.06,-0.5,0.5,True,6210000000000.0,1.1,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
37,H38A,*CHOH,,*CH,H2O,1,1,True,True,True,True,True,-0.8300000000000002,-0.79,-1.04,-0.54,False,6210000000000.0,0.63,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
38,H38B,*CHOH,,**CH2OH,,1,1,True,True,True,True,True,-0.33999999999999997,-0.34,-0.59,-0.09,False,6210000000000.0,0.39,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
39,H39B,**CH2O,,*OCH3,,1,1,True,True,True,True,True,-0.44999999999999984,-0.4,-0.6,-0.2,True,6210000000000.0,0.634,0.48,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
40,HD42B,*OCH3,,CH3OH,,1,1,True,True,True,True,True,-0.29600000000000015,-0.09,-0.29,0.11,False,6210000000000.0,1.03,0.45,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
41,H41A,*CH2OH,,*CH2,H2O,1,1,True,True,True,True,True,-0.06999999999999984,-0.37,-0.87,0.13,False,6210000000000.0,1.18,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
42,HD41A,**CH2OH,,CH3OH,,1,1,True,True,True,True,True,-1.026,-0.77,-1.27,-0.27,False,6210000000000.0,0.42,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
43,HD42A,*OCH3,,CH4,*O,1,1,True,True,True,True,True,-1.3000000000000003,-1.3,-1.5,-1.1,True,6210000000000.0,2.58,0.4,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
44,H05B,*COH,,*CHOH,,1,1,True,True,True,True,True,0.27,0.27,-0.23,0.77,False,6210000000000.0,1.62,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
45,C03Ai,*CO,*CO,**OCCO,,0,0,True,True,False,False,False,1.0100000000000002,1.01,0.9,1.3,True,6000000000000000.0,1.06,,,,,,,,,,,,,,,,,
46,C03Aii,*CO,*CO,**(CO)2,,0,0,True,True,False,False,False,0.30000000000000027,0.21,0.01,0.41,True,6000000000000000.0,0.53,,,,,,,,,,,,,,,,,
47,H16Ai,**OCCO,,**COHCO,,1,1,True,True,True,True,True,0.19999999999999987,0.2,0.0,0.4,True,6210000000000.0,0.593,0.48,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
48,H14Ai,**COHCO,,*CCO,H2O,1,1,True,True,True,True,True,-1.59,-1.59,-1.79,-1.39,True,6210000000000.0,0.35,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
49,H14Aii,**COCOH,,*CCO,H2O,1,1,True,True,True,True,True,-0.78,,-1.28,-0.28,True,6210000000000.0,0.28,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
50,H16Aii,**(CO)2,,**COCOH,,1,1,True,True,True,True,True,0.09999999999999964,,0.0,1.0,False,6210000000000.0,0.64,0.5,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
51,H19A,*CCO,,*CHCO,,1,1,True,True,True,True,True,0.30999999999999994,0.31,0.11,0.51,True,6210000000000.0,1.024,0.48,,1000.0,,0.0,,1.0,,0.0,,0.0,,1.0,,0.0,,0.0
